auction_label,auction_date,auction_year,auction_type,tax_year
2020 Assignment Sale,2020-07-23,2020,assignment_sale,2019
2020 Tax Certificate Sale of Delinquent Taxes,2020-07-20,2020,certificate_sale,2019
2019 Assignment Sale,2019-05-16,2019,assignment_sale,2018
2019 Tax Certificate Sale of Delinquent Taxes,2019-05-13,2019,certificate_sale,2018
2018 Assignment Sale,2018-05-17,2018,assignment_sale,2017
2018 Tax Certificate Sale of Delinquent Taxes,2018-05-14,2018,certificate_sale,2017
2017 Assignment Sale,2017-05-18,2017,assignment_sale,2016
2017 Tax Certificate Sale of Delinquent Taxes,2017-05-15,2017,certificate_sale,2016
2016 Assignment Sale,2016-05-19,2016,assignment_sale,2015
2016 Tax Certificate Sale of Delinquent Taxes,2016-05-13,2016,certificate_sale,2015
2015 Assignment Sale,2015-05-21,2015,assignment_sale,2014
2015 Tax Certificate Sale of Delinquent Taxes,2015-05-18,2015,certificate_sale,2014
2014 Assignment Sale,2014-05-22,2014,assignment_sale,2013
2014 Tax Certificate Sale of Delinquent Taxes,2014-05-19,2014,certificate_sale,2013
2013 Assignment Sale,2013-05-23,2013,assignment_sale,2012
2013 Tax Certificate Sale of Delinquent Taxes,2013-05-20,2013,certificate_sale,2012
2012 Assignment Sale,2012-05-24,2012,assignment_sale,2011
2012 Tax Certificate Sale of Delinquent Taxes,2012-05-21,2012,certificate_sale,2011
2011 Assignment Sale,2011-05-24,2011,assignment_sale,2010
2011 Tax Certificate Sale of Delinquent Taxes,2011-05-19,2011,certificate_sale,2010
2010 Assignment Sale,2010-05-20,2010,assignment_sale,2009
2010 Tax Certificate Sale of Delinquent Taxes,2010-05-17,2010,certificate_sale,2009
2009 Assignment Sale,2009-05-21,2009,assignment_sale,2008
2009 Tax Certificate Sale of Delinquent Liens,2009-05-18,2009,certificate_sale,2008
2008 Assignment Sale,2008-05-15,2008,assignment_sale,2007
2008 Tax Certificate Sale of Delinquent Liens,2008-05-12,2008,certificate_sale,2007
2007 Assignment Sale,2007-05-17,2007,assignment_sale,2006
2007 Tax Certificate Sale of Delinquent Liens,2007-05-14,2007,certificate_sale,2006
2006 Assignment Sale,2006-05-22,2006,assignment_sale,2005
2006 Tax Certificate Sale of Delinquent Liens,2006-05-11,2006,certificate_sale,2005
