area,type,num_properties,perc_properties_area,num_advertised,sum_lien_amount,median_lien_amount,median_assessed_value,num_vacant,num_vacant_lot,num_owner_occupied,num_owner_occupied_not_vacant,perc_vacant,perc_owner_occupied_not_vacant,perc_vacant_lot,auction_year
District 1,council_district,23493,4.84,1137,8999741.46,2542.26,146267,61,119,264,260,5.36,22.87,10.47,2021
District 10,council_district,16622,9.36,1556,28705594.13,1677.83,50100,334,197,281,259,21.47,16.65,12.66,2021
District 11,council_district,18836,6.34,1194,16637976.34,1892.29,179500,159,55,168,166,13.32,13.9,4.61,2021
District 12,council_district,17172,12.68,2178,74503555.38,2165.815,23000,630,355,193,179,28.93,8.22,16.3,2021
District 13,council_district,19517,11.84,2311,39593734.03,1956.72,34667,736,218,290,278,31.85,12.03,9.43,2021
District 14,council_district,16195,6.9,1118,17146450.62,1919.15,70067,240,103,278,269,21.47,24.06,9.21,2021
District 2,council_district,12783,5.32,680,9187589.83,2511.5,115083.5,64,68,196,193,9.41,28.38,10,2021
District 3,council_district,14302,4.22,603,5072445.34,2797.99,131400,39,47,249,245,6.47,40.63,7.79,2021
District 4,council_district,14737,5.71,842,11479387.92,2555.5950000000003,106533.5,101,71,351,348,12,41.33,8.43,2021
District 5,council_district,12908,6.24,806,9955570.459999999,2450.575,85766.5,100,105,268,264,12.41,32.75,13.03,2021
District 6,council_district,16009,9.81,1571,34187714.57,2227.91,37000,441,128,342,330,28.07,21.01,8.15,2021
District 7,council_district,18309,13.43,2459,93584341.2,2281.67,29000,844,329,362,355,34.32,14.44,13.38,2021
District 8,council_district,14634,8.97,1313,22088025.52,2435.33,83100,211,188,427,412,16.07,31.38,14.32,2021
District 9,council_district,22752,18.82,4281,233082620.79,2218.87,15000,1687,869,414,341,39.41,7.97,20.3,2021
Unknown,council_district,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
